Serial Number,Movie Title,Release Date,Notes,Release Month,Release Day,Release Year
0,"DuckTales the Movie: Treasure of the Lost Lamp
","August 3, 1990","co-production with Disney MovieToons; first Disney MovieToons film
",August,3,1990
1,"The Rescuers Down Under
","November 16, 1990","co-production with Walt Disney Feature Animation and Silver Screen Partners IV
",November,16,1990
2,"White Fang
","January 18, 1991","co-production with Silver Screen Partners IV and Hybrid Productions Inc.
",January,18,1991
3,"Shipwrecked
","March 1, 1991","co-production with AB Svensk Filmindustri
",March,1,1991
4,"Wild Hearts Can't Be Broken
","May 24, 1991","co-production with Silver Screen Partners IV and Pegasus Entertainment
",May,24,1991
5,"The Rocketeer
","June 21, 1991","released under Walt Disney Pictures in North America only;[3] co-production with Silver Screen Partners IV and The Gordon Company; released under Touchstone Pictures outside of North America[4]
",June,21,1991
6,"Beauty and the Beast
","November 22, 1991","co-production with Walt Disney Feature Animation and Silver Screen Partners IV; nominee of the Academy Award for Best Picture and winner of Golden Globe Award for Best Motion Picture – Musical or Comedy
",November,22,1991
7,"Newsies
","April 10, 1992","co-production with Touchwood Pacific Partners
",April,10,1992
8,"The Mighty Ducks
","October 2, 1992","co-production with Touchwood Pacific Partners and Avnet–Kerner Productions
",October,2,1992
9,"Aladdin
","November 25, 1992","co-production with Walt Disney Feature Animation; nominee of the Golden Globe Award for Best Motion Picture – Musical or Comedy
",November,25,1992
10,"The Muppet Christmas Carol
","December 11, 1992","co-production with Jim Henson Productions
",December,11,1992
11,"Homeward Bound: The Incredible Journey
","February 3, 1993","co-production with Touchwood Pacific Partners
",February,3,1993
12,"A Far Off Place
","March 12, 1993","co-production with Touchwood Pacific Partners and Amblin Entertainment
",March,12,1993
13,"The Adventures of Huck Finn
","April 2, 1993","
",April,2,1993
14,"Hocus Pocus
","July 16, 1993","co-production with David Kirschner Productions
",July,16,1993
15,"Cool Runnings
","October 1, 1993","
",October,1,1993
16,"The Three Musketeers
","November 12, 1993","co-production with Caravan Pictures and Avnet–Kerner Productions
",November,12,1993
17,"Iron Will
","January 14, 1994","
",January,14,1994
18,"Blank Check
","February 11, 1994","
",February,11,1994
19,"D2: The Mighty Ducks
","March 25, 1994","co-production with Avnet–Kerner Productions
",March,25,1994
20,"White Fang 2: Myth of the White Wolf
","April 15, 1994","
",April,15,1994
21,"The Lion King
","June 15, 1994","co-production with Walt Disney Feature Animation; winner of Golden Globe Award for Best Motion Picture – Musical or Comedy
",June,15,1994
22,"Angels in the Outfield
","July 15, 1994","co-production with Caravan Pictures
",July,15,1994
23,"Squanto: A Warrior's Tale
","October 28, 1994","
",October,28,1994
24,"The Santa Clause
","November 11, 1994","co-production with Hollywood Pictures and Outlaw Productions[N 3]
",November,11,1994
25,"Rudyard Kipling's The Jungle Book
","December 25, 1994","co-production with Baloo Productions and Jungle Book Films
",December,25,1994
26,"Heavyweights
","February 17, 1995","co-production with Caravan Pictures
",February,17,1995
27,"Man of the House
","March 3, 1995","co-production with All Girl Productions and Orr & Cruickshank Productions
",March,3,1995
28,"Tall Tale
","March 24, 1995","co-production with Caravan Pictures
",March,24,1995
29,"A Goofy Movie
","April 7, 1995","co-production with Disney MovieToons
",April,7,1995
30,"Pocahontas
","June 23, 1995","co-production with Walt Disney Feature Animation
",June,23,1995
31,"Operation Dumbo Drop
","July 28, 1995","co-production with Interscope Communications and PolyGram Filmed Entertainment
",July,28,1995
32,"A Kid in King Arthur's Court
","August 11, 1995","co-production with Trimark Pictures and Tapestry Films
",August,11,1995
33,"The Big Green
","September 29, 1995","co-production with Caravan Pictures
",September,29,1995
34,"Frank and Ollie
","October 20, 1995","
",October,20,1995
35,"Toy Story
","November 22, 1995","co-production with Pixar Animation Studios; first Pixar Animation Studios film; nominee of the Golden Globe Award for Best Motion Picture – Musical or Comedy
",November,22,1995
36,"Tom and Huck
","December 22, 1995","
",December,22,1995
37,"Muppet Treasure Island
","February 16, 1996","co-production with Jim Henson Productions
",February,16,1996
38,"Homeward Bound II: Lost in San Francisco
","March 8, 1996","
",March,8,1996
39,"James and the Giant Peach
","April 12, 1996","co-production with Skellington Productions and Allied Filmmakers
",April,12,1996
40,"The Hunchback of Notre Dame
","June 21, 1996","co-production with Walt Disney Feature Animation
",June,21,1996
41,"First Kid
","August 30, 1996","co-production with Caravan Pictures
",August,30,1996
42,"D3: The Mighty Ducks
","October 4, 1996","co-production with Avnet–Kerner Productions
",October,4,1996
43,"101 Dalmatians
","November 27, 1996","co-production with Great Oaks Entertainment
",November,27,1996
44,"That Darn Cat
","February 14, 1997","co-production with Robert Simonds Productions
",February,14,1997
45,"Jungle 2 Jungle
","March 7, 1997","co-production with TF1
",March,7,1997
46,"Honey, We Shrunk Ourselves ‡
","March 18, 1997","
",March,18,1997
47,"Hercules
","June 27, 1997","co-production with Walt Disney Feature Animation
",June,27,1997
48,"George of the Jungle
","July 16, 1997","co-production with Mandeville Films and Avnet–Kerner Productions
",July,16,1997
49,"Air Bud
","August 1, 1997","co-production with Keystone Entertainment[N 2]
",August,1,1997
50,"RocketMan
","October 10, 1997","co-production with Caravan Pictures and Roger Birnbaum Productions
",October,10,1997
51,"Flubber
","November 26, 1997","co-production with Great Oaks Entertainment
",November,26,1997
52,"Mr. Magoo
","December 25, 1997","co-production with UPA Productions
",December,25,1997
53,"Meet the Deedles
","March 27, 1998","co-production with DIC Entertainment and Peak Productions
",March,27,1998
54,"Mulan
","June 19, 1998","co-production with Walt Disney Feature Animation
",June,19,1998
55,"The Parent Trap
","July 29, 1998","
",July,29,1998
56,"The Jungle Book: Mowgli's Story ‡
","September 29, 1998","
",September,29,1998
57,"I'll Be Home for Christmas
","November 13, 1998","co-production with Mandeville Films
",November,13,1998
58,"A Bug's Life
","November 25, 1998","co-production with Pixar Animation Studios
",November,25,1998
