,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,0,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
1,1,Apple Airpods Headphones,1,"[150, 22]",NA,NA
2,2,Wired Headphones,1,"[11.99, 26]",NA,NA
3,3,Wired Headphones,1,"[11.99, 26]",NA,NA
4,4,Apple Airpods Headphones,1,"[150, 22]",NA,NA
5,5,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
6,6,20in Monitor,1,"[109.99, 6]",NA,NA
7,7,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
8,8,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
9,9,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
10,10,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
11,11,Flatscreen TV,1,"[300, 7]",NA,NA
12,12,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
13,13,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
14,14,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
15,15,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
16,16,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
17,17,Apple Airpods Headphones,1,"[150, 22]",NA,NA
18,18,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
19,19,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
20,20,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
21,21,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
22,22,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
23,23,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
24,24,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
25,25,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
26,26,Apple Airpods Headphones,1,"[150, 22]",NA,NA
27,27,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
28,28,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
29,29,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
30,30,iPhone,1,"[700, 10]",NA,NA
31,31,Flatscreen TV,1,"[300, 7]",NA,NA
32,32,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
33,33,Apple Airpods Headphones,1,"[150, 22]",NA,NA
34,34,Apple Airpods Headphones,1,"[150, 22]",NA,NA
35,35,Wired Headphones,1,"[11.99, 26]",NA,NA
36,36,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
