,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,0,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
1,1,Wired Headphones,1,"[11.99, 26]",NA,NA
2,2,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
3,3,Wired Headphones,1,"[11.99, 26]",NA,NA
4,4,20in Monitor,1,"[109.99, 6]",NA,NA
5,5,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
6,6,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
7,7,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
8,8,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
9,9,Google Phone,1,"[600, 8]",NA,NA
10,10,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
11,11,Apple Airpods Headphones,1,"[150, 22]",NA,NA
12,12,Flatscreen TV,1,"[300, 7]",NA,NA
13,13,iPhone,1,"[700, 10]",NA,NA
14,14,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
15,15,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
16,16,27in FHD Monitor,1,"[149.99, 11]",NA,NA
17,17,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
18,18,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
19,19,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
20,20,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
21,21,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
22,22,Apple Airpods Headphones,1,"[150, 22]",NA,NA
23,23,Wired Headphones,1,"[11.99, 26]",NA,NA
24,24,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
25,25,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
26,26,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
27,27,20in Monitor,1,"[109.99, 6]",NA,NA
28,28,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
29,29,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
30,30,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
31,31,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
32,32,20in Monitor,1,"[109.99, 6]",NA,NA
33,33,Apple Airpods Headphones,1,"[150, 22]",NA,NA
34,34,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
35,35,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
36,36,Apple Airpods Headphones,1,"[150, 22]",NA,NA
37,37,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
38,38,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
39,39,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
40,40,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
41,41,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
42,42,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
43,43,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
44,44,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
45,45,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
46,46,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
47,47,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
48,48,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
49,49,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
50,50,iPhone,1,"[700, 10]",NA,NA
51,51,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
52,52,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
53,53,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
54,54,Apple Airpods Headphones,1,"[150, 22]",NA,NA
55,55,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
56,56,Wired Headphones,1,"[11.99, 26]",NA,NA
57,57,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
58,58,Apple Airpods Headphones,1,"[150, 22]",NA,NA
59,59,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
60,60,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
61,61,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
62,62,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
63,63,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
64,64,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
65,65,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
66,66,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
67,67,20in Monitor,1,"[109.99, 6]",NA,NA
68,68,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
69,69,Wired Headphones,1,"[11.99, 26]",NA,NA
70,70,20in Monitor,1,"[109.99, 6]",NA,NA
71,71,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
72,72,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
73,73,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
74,74,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
75,75,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
76,76,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
77,77,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
78,78,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
79,79,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
80,80,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
81,81,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
82,82,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
83,83,Apple Airpods Headphones,1,"[150, 22]",NA,NA
84,84,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
85,85,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
86,86,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
87,87,Wired Headphones,1,"[11.99, 26]",NA,NA
88,88,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
89,89,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
90,90,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
91,91,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
92,92,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
93,93,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
94,94,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
95,95,Apple Airpods Headphones,1,"[150, 22]",NA,NA
96,96,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
97,97,Apple Airpods Headphones,1,"[150, 22]",NA,NA
98,98,27in FHD Monitor,1,"[149.99, 11]",NA,NA
99,99,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
100,100,Wired Headphones,1,"[11.99, 26]",NA,NA
101,101,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
102,102,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
103,103,Google Phone,1,"[600, 8]",NA,NA
104,104,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
105,105,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
106,106,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
107,107,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
108,108,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
109,109,iPhone,1,"[700, 10]",NA,NA
110,110,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
111,111,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
112,112,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
113,113,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
114,114,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
115,115,Apple Airpods Headphones,1,"[150, 22]",NA,NA
116,116,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
117,117,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
118,118,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
119,119,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
120,120,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
121,121,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
122,122,iPhone,1,"[700, 10]",NA,NA
123,123,iPhone,1,"[700, 10]",NA,NA
124,124,Apple Airpods Headphones,1,"[150, 22]",NA,NA
125,125,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
126,126,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
127,127,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
128,128,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
129,129,iPhone,1,"[700, 10]",NA,NA
130,130,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
131,131,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
132,132,Wired Headphones,1,"[11.99, 26]",NA,NA
133,133,Flatscreen TV,1,"[300, 7]",NA,NA
134,134,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
135,135,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
136,136,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
137,137,Google Phone,1,"[600, 8]",NA,NA
138,138,Wired Headphones,1,"[11.99, 26]",NA,NA
139,139,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
140,140,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
141,141,27in FHD Monitor,1,"[149.99, 11]",NA,NA
142,142,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
143,143,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
144,144,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
145,145,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
146,146,20in Monitor,1,"[109.99, 6]",NA,NA
147,147,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
148,148,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
149,149,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
150,150,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
151,151,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
152,152,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
153,153,Wired Headphones,1,"[11.99, 26]",NA,NA
154,154,Wired Headphones,1,"[11.99, 26]",NA,NA
155,155,Apple Airpods Headphones,1,"[150, 22]",NA,NA
156,156,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
157,157,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
158,158,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
159,159,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
160,160,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
161,161,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
162,162,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
163,163,Apple Airpods Headphones,1,"[150, 22]",NA,NA
164,164,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
165,165,Apple Airpods Headphones,1,"[150, 22]",NA,NA
166,166,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
167,167,27in FHD Monitor,1,"[149.99, 11]",NA,NA
168,168,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
169,169,Google Phone,1,"[600, 8]",NA,NA
170,170,LG Washing Machine,1,"[600.0, 1]",NA,NA
171,171,iPhone,1,"[700, 10]",NA,NA
172,172,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
173,173,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
174,174,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
175,175,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
176,176,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
177,177,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
178,178,iPhone,1,"[700, 10]",NA,NA
179,179,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
180,180,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
181,181,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
182,182,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
183,183,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
184,184,iPhone,1,"[700, 10]",NA,NA
185,185,Vareebadd Phone,1,"[400, 3]",NA,NA
186,186,Wired Headphones,1,"[11.99, 26]",NA,NA
187,187,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
188,188,Wired Headphones,1,"[11.99, 26]",NA,NA
189,189,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
190,190,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
191,191,27in FHD Monitor,1,"[149.99, 11]",NA,NA
192,192,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
193,193,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
194,194,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
195,195,Wired Headphones,1,"[11.99, 26]",NA,NA
196,196,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
197,197,iPhone,1,"[700, 10]",NA,NA
198,198,Apple Airpods Headphones,1,"[150, 22]",NA,NA
199,199,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
200,200,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
201,201,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
202,202,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
203,203,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
204,204,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
205,205,27in FHD Monitor,1,"[149.99, 11]",NA,NA
206,206,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
207,207,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
208,208,27in FHD Monitor,1,"[149.99, 11]",NA,NA
209,209,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
210,210,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
211,211,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
212,212,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
213,213,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
214,214,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
215,215,Wired Headphones,1,"[11.99, 26]",NA,NA
216,216,iPhone,1,"[700, 10]",NA,NA
217,217,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
218,218,iPhone,1,"[700, 10]",NA,NA
219,219,Wired Headphones,1,"[11.99, 26]",NA,NA
220,220,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
221,221,Apple Airpods Headphones,1,"[150, 22]",NA,NA
222,222,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
223,223,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
224,224,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
225,225,Apple Airpods Headphones,1,"[150, 22]",NA,NA
226,226,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
227,227,iPhone,1,"[700, 10]",NA,NA
228,228,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
229,229,Google Phone,1,"[600, 8]",NA,NA
230,230,27in FHD Monitor,1,"[149.99, 11]",NA,NA
231,231,Flatscreen TV,1,"[300, 7]",NA,NA
232,232,Apple Airpods Headphones,1,"[150, 22]",NA,NA
233,233,Wired Headphones,1,"[11.99, 26]",NA,NA
234,234,Apple Airpods Headphones,1,"[150, 22]",NA,NA
235,235,Wired Headphones,1,"[11.99, 26]",NA,NA
236,236,Apple Airpods Headphones,1,"[150, 22]",NA,NA
237,237,Apple Airpods Headphones,1,"[150, 22]",NA,NA
238,238,27in FHD Monitor,1,"[149.99, 11]",NA,NA
239,239,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
240,240,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
241,241,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
242,242,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
243,243,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
244,244,Apple Airpods Headphones,1,"[150, 22]",NA,NA
245,245,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
246,246,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
247,247,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
248,248,27in FHD Monitor,1,"[149.99, 11]",NA,NA
249,249,20in Monitor,1,"[109.99, 6]",NA,NA
250,250,Apple Airpods Headphones,1,"[150, 22]",NA,NA
251,251,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
252,252,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
253,253,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
254,254,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
255,255,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
256,256,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
257,257,20in Monitor,1,"[109.99, 6]",NA,NA
258,258,Flatscreen TV,1,"[300, 7]",NA,NA
259,259,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
260,260,Apple Airpods Headphones,1,"[150, 22]",NA,NA
261,261,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
262,262,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
263,263,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
264,264,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
265,265,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
266,266,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
267,267,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
268,268,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
269,269,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
270,270,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
271,271,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
272,272,Apple Airpods Headphones,1,"[150, 22]",NA,NA
273,273,Wired Headphones,1,"[11.99, 26]",NA,NA
274,274,Wired Headphones,1,"[11.99, 26]",NA,NA
275,275,Apple Airpods Headphones,1,"[150, 22]",NA,NA
276,276,Google Phone,1,"[600, 8]",NA,NA
277,277,Wired Headphones,1,"[11.99, 26]",NA,NA
278,278,Apple Airpods Headphones,1,"[150, 22]",NA,NA
279,279,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
280,280,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
281,281,20in Monitor,1,"[109.99, 6]",NA,NA
282,282,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
283,283,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
284,284,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
285,285,Apple Airpods Headphones,1,"[150, 22]",NA,NA
286,286,Apple Airpods Headphones,1,"[150, 22]",NA,NA
287,287,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
288,288,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
289,289,Google Phone,1,"[600, 8]",NA,NA
290,290,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
291,291,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
292,292,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
293,293,Wired Headphones,1,"[11.99, 26]",NA,NA
294,294,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
295,295,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
